phase,step_num,s0,s1,s4,s7,s0+s1+s4+s7
batch,1,17.448979591836736,20.10204081632653,36.734693877551024,16.3265306122449,36.12244897959184
batch,2,14.591836734693878,25.408163265306122,51.93877551020408,30.0,55.40816326530612
batch,3,16.224489795918366,31.22448979591837,54.48979591836734,33.46938775510204,51.73469387755102
batch,4,18.877551020408163,33.775510204081634,55.61224489795919,38.265306122448976,63.87755102040816
batch,5,20.30612244897959,38.265306122448976,55.61224489795919,41.224489795918366,64.6938775510204
batch,6,24.897959183673468,41.734693877551024,61.93877551020408,41.3265306122449,67.65306122448979
batch,7,20.0,41.224489795918366,59.48979591836735,44.38775510204081,75.61224489795919
batch,8,22.653061224489797,39.795918367346935,59.795918367346935,42.6530612244898,75.61224489795919
batch,9,22.142857142857142,47.85714285714286,62.142857142857146,45.30612244897959,79.28571428571428
batch,10,24.693877551020407,46.53061224489796,66.83673469387756,42.55102040816327,77.3469387755102
batch,11,20.10204081632653,45.20408163265306,67.04081632653062,45.91836734693878,75.81632653061224
batch,12,22.95918367346939,46.63265306122449,66.02040816326532,48.673469387755105,73.9795918367347
batch,13,19.28571428571429,46.42857142857143,65.71428571428571,46.224489795918366,76.73469387755102
batch,14,18.06122448979592,47.6530612244898,66.22448979591836,42.55102040816327,79.28571428571428
batch,15,25.71428571428571,47.85714285714286,67.75510204081633,50.40816326530613,79.28571428571428
batch,16,21.73469387755102,50.71428571428571,68.87755102040816,51.3265306122449,79.6938775510204
batch,17,23.46938775510204,50.0,67.14285714285714,50.204081632653065,80.0
batch,18,19.79591836734694,48.26530612244898,68.6734693877551,52.55102040816326,76.42857142857142
batch,19,22.346938775510203,50.71428571428571,70.20408163265306,49.89795918367347,80.61224489795919
batch,20,23.877551020408163,50.61224489795918,68.87755102040816,51.12244897959184,81.22448979591836
batch,21,15.0,14.081632653061224,19.48979591836735,14.183673469387756,25.30612244897959
batch,22,15.0,22.75510204081633,18.979591836734695,21.53061224489796,27.755102040816325
batch,23,16.73469387755102,22.857142857142858,23.06122448979592,24.387755102040817,32.04081632653061
batch,24,15.918367346938775,22.040816326530614,25.102040816326532,24.183673469387756,40.91836734693878
batch,25,18.26530612244898,26.53061224489796,21.122448979591837,25.918367346938776,41.53061224489796
batch,26,17.04081632653061,25.0,31.020408163265305,24.897959183673468,43.16326530612245
batch,27,15.714285714285714,26.02040816326531,30.20408163265306,23.6734693877551,36.93877551020408
batch,28,16.632653061224488,29.591836734693878,32.95918367346939,19.897959183673468,41.224489795918366
batch,29,16.93877551020408,25.71428571428571,28.6734693877551,24.183673469387756,45.91836734693878
batch,30,18.26530612244898,28.97959183673469,31.93877551020408,28.061224489795915,49.69387755102041
batch,31,17.448979591836736,25.71428571428571,32.6530612244898,28.57142857142857,51.22448979591837
batch,32,18.46938775510204,26.53061224489796,34.48979591836735,33.6734693877551,52.04081632653062
batch,33,17.448979591836736,31.93877551020408,28.775510204081634,29.897959183673468,51.63265306122449
batch,34,16.224489795918366,35.51020408163265,32.6530612244898,25.510204081632654,49.795918367346935
batch,35,17.346938775510203,31.93877551020408,34.59183673469388,29.69387755102041,52.95918367346939
batch,36,20.0,31.428571428571427,30.918367346938773,32.857142857142854,54.38775510204081
batch,37,18.367346938775512,31.428571428571427,32.55102040816327,26.73469387755102,51.83673469387755
batch,38,18.367346938775512,30.816326530612244,35.91836734693877,28.877551020408166,46.12244897959184
batch,39,19.591836734693878,34.285714285714285,37.04081632653061,29.897959183673468,53.46938775510204
batch,40,12.857142857142856,31.93877551020408,36.734693877551024,27.95918367346939,55.40816326530612
batch,41,17.551020408163264,22.75510204081633,41.3265306122449,17.959183673469386,45.102040816326536
batch,42,15.816326530612246,35.61224489795919,50.10204081632653,20.612244897959183,54.38775510204081
batch,43,17.244897959183675,49.28571428571429,59.795918367346935,25.918367346938776,67.04081632653062
batch,44,18.367346938775512,54.08163265306123,59.08163265306122,31.22448979591837,69.79591836734694
batch,45,20.816326530612244,56.0204081632653,67.9591836734694,26.73469387755102,78.36734693877551
batch,46,20.10204081632653,59.48979591836735,76.42857142857142,35.91836734693877,84.6938775510204
batch,47,21.020408163265305,54.285714285714285,72.44897959183673,36.836734693877546,86.53061224489797
batch,48,20.20408163265306,63.469387755102034,78.16326530612245,38.775510204081634,84.48979591836735
batch,49,20.918367346938776,63.57142857142857,75.51020408163265,40.40816326530612,87.95918367346938
batch,50,23.163265306122447,70.61224489795919,79.08163265306123,43.46938775510204,89.79591836734694
batch,51,24.591836734693878,73.06122448979592,74.08163265306122,44.89795918367347,86.0204081632653
batch,52,25.816326530612244,67.85714285714286,76.93877551020408,33.6734693877551,90.10204081632654
batch,53,23.36734693877551,74.28571428571429,81.22448979591836,43.57142857142857,93.16326530612244
batch,54,21.53061224489796,75.20408163265306,82.44897959183673,46.12244897959184,85.40816326530613
batch,55,22.244897959183675,75.40816326530613,85.71428571428571,43.87755102040816,91.63265306122449
batch,56,23.877551020408163,73.77551020408163,83.6734693877551,43.87755102040816,90.0
batch,57,25.918367346938776,71.42857142857143,82.95918367346938,44.59183673469388,91.3265306122449
batch,58,26.122448979591837,76.0204081632653,86.12244897959184,43.673469387755105,91.83673469387756
batch,59,26.836734693877553,74.59183673469387,85.61224489795919,49.08163265306123,93.06122448979592
batch,60,25.918367346938776,79.28571428571428,87.85714285714286,49.08163265306123,95.40816326530613
epoch,1,23.6734693877551,77.55102040816327,90.0,48.673469387755105,94.59183673469389
epoch,2,29.489795918367346,83.97959183673468,91.3265306122449,53.163265306122454,98.9795918367347
